"Time","Responds","BR1","BR2","BR3","BR4","BR5","BE1","BE2","BE3","BE4","SE1","SE2","SE3","SE4","SE5","SE6","PS1","PS2","PS3","PS4","PS5","WI1","WI2","WI3","highrisk","entertain","entertain_close_time","wfh","wfh_time","block","block_time","business","income","tourtime","gender","marriage","age","education","aveincome"
"2022-04-03",182,4,5,2,1,2,4,2,2,3,4,2,2,1,4,1,2,3,4,1,5,4,5,5,2,2,5,1,5,1,2,2,3,3,2,2,2,3,2
"2022-04-03",167,5,5,5,5,4,1,1,1,5,1,2,5,5,5,1,5,5,5,5,5,1,1,5,1,2,3,2,3,1,3,2,1,1,1,1,1,2,1
"2022-04-03",617,4,2,2,4,4,4,2,2,2,2,2,4,4,4,2,5,4,4,4,5,4,4,4,1,2,4,2,4,1,4,2,4,2,2,1,2,4,2
"2022-04-03",170,5,4,4,5,2,1,4,3,5,4,4,5,5,5,3,3,4,5,5,5,3,3,5,1,2,6,2,6,1,6,2,4,1,2,2,2,3,1
"2022-04-03",186,4,2,4,2,3,2,2,2,2,2,4,2,2,3,1,5,4,5,5,5,2,2,2,1,2,3,2,6,1,2,2,5,2,2,1,2,3,1
"2022-04-03",203,2,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,4,3,3,1,2,3,1,3,1,3,1,2,5,1,3,3,3,5
"2022-04-03",164,4,4,5,3,4,2,2,2,5,2,3,1,1,2,2,4,2,3,4,4,2,2,3,1,2,6,1,6,1,6,2,4,2,2,3,4,4,3
"2022-04-03",233,3,4,4,4,4,4,2,2,4,2,4,3,4,5,1,4,3,5,3,5,4,4,4,1,2,4,2,4,1,3,2,2,2,2,1,2,3,2
"2022-04-03",189,4,1,4,1,1,4,2,2,4,4,4,4,4,4,2,5,1,5,5,5,2,2,1,1,2,3,2,5,1,5,2,2,3,2,2,2,3,1
"2022-04-03",206,4,5,4,4,2,2,2,2,4,2,4,4,4,4,3,3,4,3,5,4,4,4,4,1,2,4,2,6,1,3,2,2,2,2,1,2,3,1
"2022-04-03",187,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,2,4,4,1,2,3,1,3,1,3,1,2,5,1,3,2,3,5
"2022-04-03",150,2,2,2,2,2,2,2,2,2,2,3,3,3,4,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1,2,5,1,3,2,3,5
"2022-04-03",187,4,3,3,4,3,2,3,2,2,1,4,2,1,2,2,5,5,4,4,5,2,1,2,1,2,4,1,3,1,3,2,3,3,1,4,5,3,6
"2022-04-03",163,5,4,5,2,2,4,4,2,2,4,4,4,4,5,1,4,4,3,4,5,5,5,5,1,2,3,2,4,1,2,2,5,2,2,1,2,3,1
"2022-04-03",225,4,3,2,3,2,2,1,2,3,2,3,3,2,3,2,4,2,4,2,5,4,4,4,1,2,4,1,4,1,2,2,3,2,2,2,3,3,5
"2022-04-03",423,4,4,2,4,2,2,1,2,4,2,2,4,2,2,2,2,2,2,2,4,1,1,2,1,2,2,1,2,1,2,2,2,3,1,1,2,2,1
"2022-04-03",148,4,5,4,3,5,3,2,2,4,4,3,5,5,5,3,4,4,5,4,5,4,4,5,1,2,5,2,5,1,5,2,5,3,1,4,2,3,2
"2022-04-03",307,5,4,3,4,5,4,3,4,5,3,5,4,3,4,5,4,3,4,5,4,3,4,5,2,2,2,1,2,1,2,2,4,2,2,4,4,2,1
"2022-04-03",310,4,2,2,4,2,1,1,2,2,4,3,2,2,4,2,5,4,4,2,5,4,4,5,1,2,4,1,4,1,4,2,2,2,1,4,4,4,6
"2022-04-03",158,4,4,5,5,5,5,5,4,4,5,2,2,2,5,2,5,2,5,2,5,4,5,5,1,2,4,2,4,1,2,2,2,3,2,1,2,3,1
"2022-04-03",329,2,2,2,2,2,3,2,2,4,3,3,4,3,4,1,4,4,4,4,5,4,4,5,1,2,4,1,4,1,2,2,2,3,2,3,4,4,4
"2022-04-03",273,5,5,4,5,4,5,4,5,5,4,4,5,5,5,4,4,3,4,4,5,5,5,5,1,2,3,1,3,1,3,1,4,5,2,4,4,3,4
"2022-04-03",239,4,1,4,4,2,1,2,2,2,5,2,4,4,4,1,2,2,2,2,2,4,5,4,1,2,2,1,3,1,2,1,1,2,1,4,4,3,5
"2022-04-03",184,4,4,4,5,4,5,5,4,4,5,4,3,3,4,2,4,4,4,5,5,4,4,4,1,2,4,2,5,1,5,2,2,1,2,1,2,4,1
"2022-04-03",323,2,2,3,2,3,2,2,2,2,3,3,4,3,4,2,4,2,4,4,4,4,3,2,1,2,6,1,3,1,3,2,3,2,2,1,3,3,2
"2022-04-03",306,4,5,3,3,2,3,2,2,2,4,2,2,1,4,2,1,4,2,4,5,5,5,5,1,2,4,2,4,1,4,2,5,3,1,2,2,3,1
"2022-04-03",590,2,4,1,2,1,4,2,1,5,2,3,1,2,4,2,4,5,4,2,4,2,1,2,1,2,2,1,2,1,2,2,4,2,2,4,3,3,6
"2022-04-03",616,2,4,2,1,2,4,1,2,4,1,2,1,2,3,1,5,4,5,1,5,2,1,2,1,2,2,1,3,1,3,2,2,3,1,4,4,3,6
"2022-04-03",594,5,4,5,4,5,4,2,4,5,3,4,5,4,5,2,4,5,4,3,4,1,2,1,1,2,3,1,3,1,3,2,5,1,1,1,2,3,3
"2022-04-03",368,3,4,5,4,4,3,4,5,4,3,5,3,2,3,3,4,5,4,4,5,3,2,3,1,2,4,1,4,1,4,2,2,2,1,3,3,3,5
"2022-04-03",352,4,4,2,4,3,4,3,2,4,2,4,3,2,4,1,4,4,3,2,4,5,5,5,1,2,4,1,4,1,4,2,2,2,1,4,4,3,5
"2022-04-03",210,4,2,4,4,2,1,1,1,1,3,1,1,1,2,1,1,3,2,2,4,3,2,2,1,2,6,2,6,1,3,2,2,1,2,1,2,3,1
"2022-04-03",613,4,2,3,2,2,2,2,2,2,3,2,2,2,3,2,4,4,4,4,4,4,4,4,1,2,4,1,3,1,2,2,2,2,1,4,4,3,4
"2022-04-03",149,4,4,4,4,4,1,1,1,2,5,2,5,5,5,1,2,2,2,2,2,5,5,5,1,2,3,1,3,1,2,1,1,3,2,5,6,2,5
"2022-04-03",283,4,4,2,2,4,4,4,4,4,4,4,2,2,4,2,4,4,2,2,5,4,4,4,2,2,3,2,5,1,5,2,5,2,2,2,2,3,1
