"Construct","Item","Loading","CR","AVE","Source"
"Boredom","BR1",0.825,0.933,0.735,"Manuscript_anonymous.docx"
"Boredom","BR2",0.845,,,"Manuscript_anonymous.docx"
"Boredom","BR3",0.888,,,"Manuscript_anonymous.docx"
"Boredom","BR4",0.892,,,"Manuscript_anonymous.docx"
"Boredom","BR5",0.834,,,"Manuscript_anonymous.docx"
"Sensation seeking","SE1",0.67,0.883,0.561,"Manuscript_anonymous.docx"
"Sensation seeking","SE2",0.61,,,"Manuscript_anonymous.docx"
"Sensation seeking","SE3",0.848,,,"Manuscript_anonymous.docx"
"Sensation seeking","SE4",0.852,,,"Manuscript_anonymous.docx"
"Sensation seeking","SE5",0.808,,,"Manuscript_anonymous.docx"
"Sensation seeking","SE6",0.669,,,"Manuscript_anonymous.docx"
"Travel intention","WI1",0.902,0.926,0.806,"Manuscript_anonymous.docx"
"Travel intention","WI2",0.879,,,"Manuscript_anonymous.docx"
"Travel intention","WI3",0.911,,,"Manuscript_anonymous.docx"
