"Context","Level","BR_M","BR_SD","SE_M","SE_SD","WI_M","WI_SD","BR_Test","BR_P","SE_Test","SE_P","WI_Test","WI_P","Source"
"Area","Medium or high-risk area",3.49,1.14,3.56,0.98,3.66,1.18,,,,,,,"Manuscript_anonymous.docx"
"Area","Low risk area",3.17,1.2,3.39,0.97,3.54,1.17,,,,,,,"Manuscript_anonymous.docx"
"Area","t",,,,,,,4.43,,2.83,,1.65,,"Manuscript_anonymous.docx"
"Area","p",,,,,,,,"<0.001",,"0.01",,"0.10","Manuscript_anonymous.docx"
"Entertainment places","Close",3.38,1.17,3.48,1.01,3.6,1.2,,,,,,,"Manuscript_anonymous.docx"
"Entertainment places","Open",3.21,1.18,3.46,0.92,3.58,1.12,,,,,,,"Manuscript_anonymous.docx"
"Entertainment places","t",,,,,,,2.3,,0.31,,0.24,,"Manuscript_anonymous.docx"
"Entertainment places","p",,,,,,,,"0.02",,"0.76",,"0.81","Manuscript_anonymous.docx"
"Workplace","Closed management",3.38,1.18,3.52,1,3.61,1.19,,,,,,,"Manuscript_anonymous.docx"
"Workplace","Unclosed management",3.21,1.16,3.39,0.94,3.57,1.14,,,,,,,"Manuscript_anonymous.docx"
"Workplace","t",,,,,,,2.26,,1.95,,0.49,,"Manuscript_anonymous.docx"
"Workplace","p",,,,,,,,"0.02",,"0.05",,"0.62","Manuscript_anonymous.docx"
"Community","Blocked",3.54,1.15,3.6,0.97,3.7,1.17,,,,,,,"Manuscript_anonymous.docx"
"Community","Unblocked",3.09,1.17,3.33,0.96,3.48,1.17,,,,,,,"Manuscript_anonymous.docx"
"Community","t",,,,,,,6.22,,4.55,,3.01,,"Manuscript_anonymous.docx"
"Community","p",,,,,,,,"<0.001",,"<0.001",,"<0.001","Manuscript_anonymous.docx"
"Working state","Work at home",3.38,1.22,3.47,1.05,3.6,1.27,,,,,,,"Manuscript_anonymous.docx"
"Working state","Study at home",3.55,1.06,3.67,0.84,3.75,1,,,,,,,"Manuscript_anonymous.docx"
"Working state","Offline office",2.97,1.16,3.3,0.96,3.44,1.17,,,,,,,"Manuscript_anonymous.docx"
"Working state","Offline learning",3.41,1.11,3.45,0.89,3.6,1.08,,,,,,,"Manuscript_anonymous.docx"
"Working state","F",,,,,,,11.53,,6.14,,2.98,,"Manuscript_anonymous.docx"
"Working state","p",,,,,,,,"<0.001",,"<0.001",,"0.03","Manuscript_anonymous.docx"
