"IV","Path","Point_Est","SE","CI_Lower","CI_Upper","Source"
"Community block","ind1",0.089,0.022,0.051,0.135,"Manuscript_anonymous.docx"
"Community block","ind2",0.032,0.033,-0.033,0.1,"Manuscript_anonymous.docx"
"Community block","ind3",0.114,0.023,0.071,0.163,"Manuscript_anonymous.docx"
"Community block","total_ind",0.236,0.049,0.139,0.333,"Manuscript_anonymous.docx"
"Closed management of workplace","ind1",0.034,0.017,0.004,0.069,"Manuscript_anonymous.docx"
"Closed management of workplace","ind2",0.02,0.034,-0.046,0.085,"Manuscript_anonymous.docx"
"Closed management of workplace","ind3",0.044,0.021,0.005,0.087,"Manuscript_anonymous.docx"
"Closed management of workplace","total_ind",0.098,0.048,0.005,0.19,"Manuscript_anonymous.docx"
"Work or study at home","ind1",0.073,0.021,0.034,0.116,"Manuscript_anonymous.docx"
"Work or study at home","ind2",0.017,0.035,-0.05,0.085,"Manuscript_anonymous.docx"
"Work or study at home","ind3",0.094,0.049,0.052,0.143,"Manuscript_anonymous.docx"
"Work or study at home","total_ind",0.184,0.05,0.088,0.282,"Manuscript_anonymous.docx"
"Closure of entertainment venues","ind1",0.045,0.018,0.013,0.084,"Manuscript_anonymous.docx"
"Closure of entertainment venues","ind2",-0.02,0.032,-0.082,0.044,"Manuscript_anonymous.docx"
"Closure of entertainment venues","ind3",0.06,0.022,0.018,0.104,"Manuscript_anonymous.docx"
"Closure of entertainment venues","total_ind",0.085,0.048,-0.009,0.182,"Manuscript_anonymous.docx"
