"Stage","Term","Beta","SE","Stars","N","F_value","P_value","Adjusted_R2","Source"
"T1","Boredom",0.315,0.064,"***",139,29.44,"<0.001",0.553,"Manuscript_anonymous.docx"
"T1","Sensation seeking",0.531,0.079,"***",139,29.44,"<0.001",0.553,"Manuscript_anonymous.docx"
"T1","Education",0.077,0.112,"",139,29.44,"<0.001",0.553,"Manuscript_anonymous.docx"
"T1","Travel frequency",0.107,0.065,"",139,29.44,"<0.001",0.553,"Manuscript_anonymous.docx"
"T1","Age 26+",-0.032,0.125,"",139,29.44,"<0.001",0.553,"Manuscript_anonymous.docx"
"T1","Male",0.018,0.137,"",139,29.44,"<0.001",0.553,"Manuscript_anonymous.docx"
"T2","Boredom",0.102,0.088,"",118,12.7,"<0.001",0.375,"Manuscript_anonymous.docx"
"T2","Sensation seeking",0.552,0.11,"***",118,12.7,"<0.001",0.375,"Manuscript_anonymous.docx"
"T2","Education",0.039,0.205,"",118,12.7,"<0.001",0.375,"Manuscript_anonymous.docx"
"T2","Travel frequency",0.146,0.127,"",118,12.7,"<0.001",0.375,"Manuscript_anonymous.docx"
"T2","Age 26+",0.108,0.194,"",118,12.7,"<0.001",0.375,"Manuscript_anonymous.docx"
"T2","Male",-0.043,0.203,"",118,12.7,"<0.001",0.375,"Manuscript_anonymous.docx"
"T3","Boredom",0.048,0.067,"",268,58.68,"<0.001",0.565,"Manuscript_anonymous.docx"
"T3","Sensation seeking",0.681,0.078,"***",268,58.68,"<0.001",0.565,"Manuscript_anonymous.docx"
"T3","Education",0.052,0.113,"",268,58.68,"<0.001",0.565,"Manuscript_anonymous.docx"
"T3","Travel frequency",0.098,0.057,"*",268,58.68,"<0.001",0.565,"Manuscript_anonymous.docx"
"T3","Age 26+",-0.128,0.116,"**",268,58.68,"<0.001",0.565,"Manuscript_anonymous.docx"
"T3","Male",-0.018,0.105,"",268,58.68,"<0.001",0.565,"Manuscript_anonymous.docx"
