"Latent","Item","Std_Loading","pvalue","CR","AVE"
"Boredom","BR1",0.824694726214321,0,0.932642686060414,0.734904713060283
"Boredom","BR2",0.845020503126556,0,NA,NA
"Boredom","BR3",0.888295929950687,0,NA,NA
"Boredom","BR4",0.892357626400187,0,NA,NA
"Boredom","BR5",0.833649045216218,0,NA,NA
"Sensation seeking","SE1",0.669923298647475,0,0.882860480200199,0.560855336390509
"Sensation seeking","SE2",0.610068603797365,0,NA,NA
"Sensation seeking","SE3",0.847801629711295,0,NA,NA
"Sensation seeking","SE4",0.85159525135551,0,NA,NA
"Sensation seeking","SE5",0.807538407501949,0,NA,NA
"Sensation seeking","SE6",0.669365920756285,0,NA,NA
"Travel intention","WI1",0.901943501850154,0,0.925424657909697,0.80534514833307
"Travel intention","WI2",0.879491928304274,0,NA,NA
"Travel intention","WI3",0.91050936981292,0,NA,NA
