"Path","Point_Est","SE","CI_Lower","CI_Upper","pvalue","IV"
"ind1",0.0892656272855653,0.0219733937084606,0.0496544885238564,0.133932663535377,4.85621124670654e-05,"Community block"
"ind2",0.0322432597942538,0.0328375493022951,-0.0371574074228252,0.0943832617301555,0.32614806347008,"Community block"
"ind3",0.114177469411146,0.0221237568430505,0.0717555438682188,0.161739733600719,2.45826413003414e-07,"Community block"
"total_ind",0.235686356490965,0.0483083086775695,0.139065633039028,0.325556132448991,1.06735687732673e-06,"Community block"
"ind1",0.0338789357864895,0.0171091041857542,0.000888095275396633,0.068929505500134,0.0476844233858,"Closed management of workplace"
"ind2",0.0199762655929093,0.0332005233863186,-0.0459316163526706,0.0822561290122593,0.547383662542449,"Closed management of workplace"
"ind3",0.0442213603609576,0.0213132372025143,0.00100317938283208,0.0864941449395259,0.0380022217207345,"Closed management of workplace"
"total_ind",0.0980765617403564,0.0485577466888858,0.00143281245671165,0.187738344938496,0.0434049385938906,"Closed management of workplace"
"ind1",0.0727832216690817,0.0202871720185743,0.0354621469862627,0.115184133713145,0.000333674997231359,"Work or study at home"
"ind2",0.0168514313235947,0.0335707706460767,-0.0519723126100761,0.0854676599343027,0.615690476590503,"Work or study at home"
"ind3",0.094390009252851,0.0224305316206898,0.0483461018039272,0.137944072961918,2.57522375530783e-05,"Work or study at home"
"total_ind",0.184024662245527,0.0486746168174913,0.0821303788706527,0.270679623878165,0.000156381080909096,"Work or study at home"
"ind1",0.0451166589923836,0.0186164155066746,0.0143434709573059,0.0876488968054931,0.0153722624682848,"Closure of entertainment venues"
"ind2",-0.0202542838558634,0.0332100234365577,-0.0850447148093925,0.0454919934957119,0.541938214783008,"Closure of entertainment venues"
"ind3",0.0596886127448885,0.0213681500650777,0.0200549423351543,0.104790847354553,0.00521660405812119,"Closure of entertainment venues"
"total_ind",0.0845509878814086,0.0499565081628412,-0.010476381182968,0.186517908480709,0.090552213830208,"Closure of entertainment venues"
