"Stage","Term","Beta","SE","N","F_value","Adjusted_R2","P_value"
"T1","Boredom",0.314086441406716,0.0642139263831437,139,28.9026212103421,0.548156863966625,1.78689954645312e-05
"T1","Sensation seeking",0.528926576528678,0.0787095409986163,139,28.9026212103421,0.548156863966625,5.86511145646214e-12
"T1","Education",0.0753478078501582,0.112132654156935,139,28.9026212103421,0.548156863966625,0.215006786408522
"T1","Travel frequency",0.109856412907767,0.0654058480102083,139,28.9026212103421,0.548156863966625,0.0651697263558974
"T1","Age 26+",-0.0365809260901853,0.124998593175478,139,28.9026212103421,0.548156863966625,0.548742803310846
"T1","Male",0.0144338718417325,0.137280576210159,139,28.9026212103421,0.548156863966625,0.806098057788993
"T2","Boredom",0.103113148292642,0.0876552404961031,119,12.9196478697674,0.377367478438118,0.227651076754958
"T2","Sensation seeking",0.555448806157777,0.109256512155996,119,12.9196478697674,0.377367478438118,3.01294601716257e-09
"T2","Education",0.0401052868538958,0.204103559061809,119,12.9196478697674,0.377367478438118,0.612142868308909
"T2","Travel frequency",0.144499308354232,0.126071409296882,119,12.9196478697674,0.377367478438118,0.0683971321244455
"T2","Age 26+",0.107136782269241,0.192705999285803,119,12.9196478697674,0.377367478438118,0.181389331060238
"T2","Male",-0.042761233457357,0.202199098474227,119,12.9196478697674,0.377367478438118,0.578869025811583
"T3","Boredom",0.0421307121140673,0.0666875140971061,267,57.9971757406849,0.562487806106358,0.50450440283234
"T3","Sensation seeking",0.686824937369252,0.0775781901600624,267,57.9971757406849,0.562487806106358,3.37478011433461e-23
"T3","Education",0.052183207725251,0.112989649855957,267,57.9971757406849,0.562487806106358,0.207607630359496
"T3","Travel frequency",0.0926771988985218,0.0572335489923972,267,57.9971757406849,0.562487806106358,0.0260603589378443
"T3","Age 26+",-0.127173290651373,0.116318566876658,267,57.9971757406849,0.562487806106358,0.0026657451880171
"T3","Male",-0.0213437222536428,0.104999272377039,267,57.9971757406849,0.562487806106358,0.610281959484875
