"term","estimate","std.error","statistic","p.value","Std_Error_Raw_Scale","Stage","N","Adj_R2","F_stat"
"(Intercept)",6.08193364434075e-18,0.0891763500143499,6.82011950854915e-17,1,0.96685766186073,"T1(<=2周)",101,0.196805438409934,5.08380583861529
"BR",0.332574074159391,0.102638847142081,3.24023586994322,0.00165210721739789,0.144699021351043,"T1(<=2周)",101,0.196805438409934,5.08380583861529
"SE",0.241521363119477,0.102127515947134,2.36490000642431,0.020090513242539,0.181034710185828,"T1(<=2周)",101,0.196805438409934,5.08380583861529
"education_num",0.144639065724713,0.0905711211009558,1.59696671484821,0.113629589751855,0.214456210722537,"T1(<=2周)",101,0.196805438409934,5.08380583861529
"tourtime_num",0.00155429691515873,0.0901213660568747,0.0172467083352668,0.986276354060777,0.151647015448914,"T1(<=2周)",101,0.196805438409934,5.08380583861529
"age_binary",0.019210102894808,0.0921215466791073,0.208529964892185,0.835266379252868,0.267906954559852,"T1(<=2周)",101,0.196805438409934,5.08380583861529
"gender_binary",0.00520769406908423,0.0910515000152372,0.0571950387221819,0.954511233879519,0.23961428202281,"T1(<=2周)",101,0.196805438409934,5.08380583861529
"(Intercept)",8.79401212468426e-17,0.0453594371444487,1.9387392521383e-15,0.999999999999998,0.415677689491864,"T2(2-4周)",333,0.314859646825623,26.4287077243334
"BR",0.211138057539582,0.0545516762111573,3.870422912805,0.000131244829024968,0.0729589127688385,"T2(2-4周)",333,0.314859646825623,26.4287077243334
"SE",0.357395273966738,0.0563071883732756,6.34724063289164,7.33960041699383e-10,0.0809676116979685,"T2(2-4周)",333,0.314859646825623,26.4287077243334
"education_num",0.16197250443298,0.0456204203599307,3.55043866661176,0.000441196341944443,0.102956296800019,"T2(2-4周)",333,0.314859646825623,26.4287077243334
"tourtime_num",0.179888045700777,0.0486714743490533,3.69596458925177,0.000256874046772162,0.0665186832704814,"T2(2-4周)",333,0.314859646825623,26.4287077243334
"age_binary",-0.07618023583229,0.0490682441477916,-1.5525364144443,0.121504160532141,0.122022097216128,"T2(2-4周)",333,0.314859646825623,26.4287077243334
"gender_binary",-0.0546149532545852,0.0484103041397741,-1.12816794327291,0.260078580027115,0.121211332461168,"T2(2-4周)",333,0.314859646825623,26.4287077243334
"(Intercept)",-1.53189803284256e-16,0.0414638084071336,-3.69454252200096e-15,0.999999999999997,0.349646057901729,"T3(>4周)",466,0.198830708047459,20.2336127064027
"BR",0.15031970586865,0.0452480798290402,3.32212342350436,0.000964732035565066,0.0585934886496517,"T3(>4周)",466,0.198830708047459,20.2336127064027
"SE",0.320683764869478,0.046771873865088,6.85633775962194,2.28901753444108e-11,0.0706101928357274,"T3(>4周)",466,0.198830708047459,20.2336127064027
"education_num",0.0719426619701586,0.0420978977089091,1.70893716516712,0.088138567851593,0.0876903968331063,"T3(>4周)",466,0.198830708047459,20.2336127064027
"tourtime_num",0.111603154989031,0.0437701126136065,2.54975709051153,0.0111037972126511,0.0555097713710317,"T3(>4周)",466,0.198830708047459,20.2336127064027
"age_binary",-0.0457780130601876,0.0427597322347381,-1.07058699079031,0.284917801146555,0.10183231715498,"T3(>4周)",466,0.198830708047459,20.2336127064027
"gender_binary",-0.100788110671678,0.042914882860417,-2.3485584476485,0.0192695602524519,0.110096655805378,"T3(>4周)",466,0.198830708047459,20.2336127064027
